center_id,center_name,phone,fax,address,sido,sigungu,gu,emd,search_key,area_key,sido_norm,area_key_norm,display_name,aliases,floor_info,unit_info,building_hint,arrival_hint,google_place_id,google_primary_photo_ref,google_maps_url
C080,순천우정BP,061-743-6066,061-743-6065,전남 순천시 연동남3길 5 (조례동) 2층(앤텔레콤),전라남도,순천시,,조례동,순천우정BP 전남 순천시 연동남3길 5 (조례동) 2층(앤텔레콤),전라남도 순천시 조례동,전라남도,전라남도 순천시 조례동,순천우정BP (순천시 조례동),,2층,,순천시 연동남3,순천시 연동남3 2층,,,
C081,목포BP,061-284-1094,061-281-1094,전남 목포시 영산로 95 (명륜동) 3층,전라남도,목포시,,명륜동,목포BP 전남 목포시 영산로 95 (명륜동) 3층,전라남도 목포시 명륜동,전라남도,전라남도 목포시 명륜동,목포BP (목포시 명륜동),,3층,,목포시 영산,목포시 영산 3층,,,
C082,전주BP,063-246-9922,063-246-9923,전북특별자치도 전주시 덕진구 가리내로 18 (금암동) 1층,전북특별자치도,전주시,덕진구,금암동,전주BP 전북특별자치도 전주시 덕진구 가리내로 18 (금암동) 1층,전북특별자치도 전주시 금암동,전라북도,전라북도 전주시 덕진구 금암동,전주BP (전주시 덕진구 금암동),,1층,,덕진구 가리내,덕진구 가리내 1층,,,
C083,군산웅비BP,063-452-7924,063-446-7924,전북 군산시 팔마로 212 (경장동) 2층 앤텔레콤,전북특별자치도,군산시,,경장동,군산웅비BP 전북 군산시 팔마로 212 (경장동) 2층 앤텔레콤,전북특별자치도 군산시 경장동,전라북도,전라북도 군산시 경장동,군산웅비BP (군산시 경장동),,2층,,군산시 팔마,군산시 팔마 2층,,,
C084,군산BP,063-471-8890,050-4418-6789,전북특별자치도 군산시 신풍길 31 (신풍동) 1층,전북특별자치도,군산시,,신풍동,군산BP 전북특별자치도 군산시 신풍길 31 (신풍동) 1층,전북특별자치도 군산시 신풍동,전라북도,전라북도 군산시 신풍동,군산BP (군산시 신풍동),,1층,,군산시 신풍,군산시 신풍 1층,,,
C085,익산BP,070-8250-9922,070-8250-9923,"전북특별자치도 익산시 목천로 48 (목천동, 목천동 원주아파트) 상가102동 2층 18호",전북특별자치도,익산시,,"목천동, 목천동 원주아파트","익산BP 전북특별자치도 익산시 목천로 48 (목천동, 목천동 원주아파트) 상가102동 2층 18호","전북특별자치도 익산시 목천동, 목천동 원주아파트",전라북도,"전라북도 익산시 목천동, 목천동 원주아파트",익산BP (익산시 목천동),,2층,18호,,2층 18호,,,
C086,군산강남글로벌BP,063-452-1878,0303-3440-1878,전북 군산시 양안로 75 (조촌동) 1층,전북특별자치도,군산시,,조촌동,군산강남글로벌BP 전북 군산시 양안로 75 (조촌동) 1층,전북특별자치도 군산시 조촌동,전라북도,전라북도 군산시 조촌동,군산강남글로벌BP (군산시 조촌동),,1층,,군산시 양안,군산시 양안 1층,,,
C087,올레BP,064-749-3016,064-749-3018,제주특별자치도 제주시 남성로 16 (용담1동) 1층,제주특별자치도,제주시,,용담1동,올레BP 제주특별자치도 제주시 남성로 16 (용담1동) 1층,제주특별자치도 제주시 용담1동,제주특별자치도,제주특별자치도 제주시 용담1동,올레BP (제주시 용담1동),,1층,,제주시 남성,제주시 남성 1층,,,
C088,제주우정BP,010-2700-8335,050-4161-8335,"제주특별자치도 제주시 삼봉로 137 (도련일동, 도련한양아파트) 101호",제주특별자치도,제주시,,"도련일동, 도련한양아파트","제주우정BP 제주특별자치도 제주시 삼봉로 137 (도련일동, 도련한양아파트) 101호","제주특별자치도 제주시 도련일동, 도련한양아파트",제주특별자치도,"제주특별자치도 제주시 도련일동, 도련한양아파트",제주우정BP (제주시 도련일동),,,101호,,101호,,,
C089,나눔천안BP,041-567-1530,041-566-1530,충남 천안시 동남구 수곡1길 12-5(신방동) 은광빌딩 4층,충청남도,천안시,동남구,신방동,나눔천안BP 충남 천안시 동남구 수곡1길 12-5(신방동) 은광빌딩 4층,충청남도 천안시 신방동,충청남도,충청남도 천안시 동남구 신방동,나눔천안BP (천안시 동남구 신방동),,4층,,동남구 수곡1,동남구 수곡1 4층,,,
C090,당진BP,041-352-5016,041-352-6016,충남 당진시 당진중앙3로 14 조향빌딩 (읍내동) 6층 602호,충청남도,당진시,,읍내동,당진BP 충남 당진시 당진중앙3로 14 조향빌딩 (읍내동) 6층 602호,충청남도 당진시 읍내동,충청남도,충청남도 당진시 읍내동,당진BP (당진시 읍내동),,6층,602호,당진시 당진중앙3,당진시 당진중앙3 6층 602호,,,
C091,충남스마트BP,041-531-5677,041-531-5688,충남 아산시 충무로 8 (온천동) 영성빌딩 5층,충청남도,아산시,,온천동,충남스마트BP 충남 아산시 충무로 8 (온천동) 영성빌딩 5층,충청남도 아산시 온천동,충청남도,충청남도 아산시 온천동,충남스마트BP (아산시 온천동),,5층,,아산시 충무,아산시 충무 5층,,,
C092,서산글로벌BP,041-666-6621,041-667-6016,충남 서산시 해미면 읍성마을2길 16 105호,충청남도,서산시,,해미면,서산글로벌BP 충남 서산시 해미면 읍성마을2길 16 105호,충청남도 서산시 해미면,충청남도,충청남도 서산시 해미면,서산글로벌BP (서산시 해미면),,,105호,,105호,,,
C093,청주BP,043-286-1016,043-286-2016,충북 청주시 서원구 산남로70번길 34 (산남동) 1동 610호,충청북도,청주시,서원구,산남동,청주BP 충북 청주시 서원구 산남로70번길 34 (산남동) 1동 610호,충청북도 청주시 산남동,충청북도,충청북도 청주시 서원구 산남동,청주BP (청주시 서원구 산남동),,,610호,,610호,,,
C094,충주BP,043-855-6555,043-847-2016,충북 충주시 중앙로 108 (성내동) 1층,충청북도,충주시,,성내동,충주BP 충북 충주시 중앙로 108 (성내동) 1층,충청북도 충주시 성내동,충청북도,충청북도 충주시 성내동,충주BP (충주시 성내동),,1층,,충주시 중앙,충주시 중앙 1층,,,
C095,청주흥덕BP,043-260-1216,043-260-2216,충북 청주시 흥덕구 과상미로 37 (봉명동) 1층,충청북도,청주시,흥덕구,봉명동,청주흥덕BP 충북 청주시 흥덕구 과상미로 37 (봉명동) 1층,충청북도 청주시 봉명동,충청북도,충청북도 청주시 흥덕구 봉명동,청주흥덕BP (청주시 흥덕구 봉명동),,1층,,흥덕구 과상미,흥덕구 과상미 1층,,,
C096,청주오션BP,043-221-1134,043-221-1135,충북 청주시 청원구 무심동로 648-1 (내덕동) 6층 2호,충청북도,청주시,청원구,내덕동,청주오션BP 충북 청주시 청원구 무심동로 648-1 (내덕동) 6층 2호,충청북도 청주시 내덕동,충청북도,충청북도 청주시 청원구 내덕동,청주오션BP (청주시 청원구 내덕동),,6층,2호,,6층 2호,,,
